Distribuidor;CNPJ;Codigo Vendedor;Codigo Cliente;Codigo Produto;Quantidade;Valor Total;Data;Numero Nota;Tipo de Saida;
IMPORTADORA BAGE SA;92785047000126;000213;010528;000130;5;18962;20250429;001113664;VENDA;
IMPORTADORA BAGE SA;92785047000126;000213;010528;000723;3;12981;20250429;001113664;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;007970;000723;6;24597;20250429;001113688;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;007970;001707;4;40766;20250429;001113688;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;007970;008545;2;67026;20250429;001113688;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;007970;001580;2;6594;20250429;001113688;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;007970;013461;8;29593;20250429;001113688;VENDA;
IMPORTADORA BAGE SA;92785047000126;000342;003534;007707;3;2880;20250429;001113686;VENDA;
IMPORTADORA BAGE SA;92785047000126;000342;003534;007708;2;2640;20250429;001113686;VENDA;
IMPORTADORA BAGE SA;92785047000126;000342;003534;007709;1;1850;20250429;001113686;VENDA;
IMPORTADORA BAGE SA;92785047000126;000342;003534;001712;8;19568;20250429;001113686;VENDA;
IMPORTADORA BAGE SA;92785047000126;000347;998218;001783;1;2316;20250429;001113694;VENDA;
IMPORTADORA BAGE SA;92785047000126;000347;998218;001710;5;11620;20250429;001113694;VENDA;
IMPORTADORA BAGE SA;92785047000126;000347;998218;000344;1;4019;20250429;001113694;VENDA;
IMPORTADORA BAGE SA;92785047000126;000347;998218;005995;2;13946;20250429;001113694;VENDA;
IMPORTADORA BAGE SA;92785047000126;000347;998218;000722;1;6857;20250429;001113694;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;000865;001715;12;37224;20250429;001113712;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;000865;002061;1;17764;20250429;001113712;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;000865;001720;6;35370;20250429;001113712;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;000865;003411;12;56352;20250429;001113712;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;000865;010170;2;10963;20250429;001113712;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;000865;000996;6;28391;20250429;001113712;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;000865;002585;11;79200;20250429;001113712;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;000865;006710;11;33363;20250429;001113712;VENDA;
IMPORTADORA BAGE SA;92785047000126;000202;995729;003012;2;7294;20250429;001113689;VENDA;
IMPORTADORA BAGE SA;92785047000126;000202;995729;006343;2;6720;20250429;001113689;VENDA;
IMPORTADORA BAGE SA;92785047000126;000304;003415;001720;6;35368;20250429;001113705;VENDA;
IMPORTADORA BAGE SA;92785047000126;000304;013169;001708;5;72475;20250429;001113713;VENDA;
IMPORTADORA BAGE SA;92785047000126;000304;013169;001707;10;96254;20250429;001113713;VENDA;
IMPORTADORA BAGE SA;92785047000126;000304;013169;006648;3;17568;20250429;001113713;VENDA;
IMPORTADORA BAGE SA;92785047000126;000304;013169;001771;12;34742;20250429;001113713;VENDA;
IMPORTADORA BAGE SA;92785047000126;000304;013557;006710;24;72792;20250429;001113715;VENDA;
IMPORTADORA BAGE SA;92785047000126;000304;013557;001771;6;18456;20250429;001113715;VENDA;
IMPORTADORA BAGE SA;92785047000126;000320;989394;000723;12;54660;20250429;001113725;VENDA;
IMPORTADORA BAGE SA;92785047000126;000320;989394;006710;12;36396;20250429;001113725;VENDA;
IMPORTADORA BAGE SA;92785047000126;000320;989394;000130;12;47904;20250429;001113725;VENDA;
IMPORTADORA BAGE SA;92785047000126;000320;989394;001797;12;31404;20250429;001113725;VENDA;
IMPORTADORA BAGE SA;92785047000126;000304;995129;007206;2;15824;20250429;001113723;VENDA;
