Distribuidor;Codigo Produto;Quantidade;Data;
92785047000126;000008;0;20250401;
92785047000126;000064;1257;20250401;
92785047000126;000096;0;20250401;
92785047000126;000130;14368;20250401;
92785047000126;000136;306;20250401;
92785047000126;000149;207;20250401;
92785047000126;000164;286;20250401;
92785047000126;000198;14;20250401;
92785047000126;000344;268;20250401;
92785047000126;000396;200;20250401;
92785047000126;000540;291;20250401;
92785047000126;000581;32;20250401;
92785047000126;000691;10;20250401;
92785047000126;000705;0;20250401;
92785047000126;000706;0;20250401;
92785047000126;000710;15;20250401;
92785047000126;000710005;0;20250401;
92785047000126;000711;475;20250401;
92785047000126;000713;0;20250401;
92785047000126;000715;0;20250401;
92785047000126;000720;0;20250401;
92785047000126;000721;16;20250401;
92785047000126;000722;2811;20250401;
92785047000126;000723;14368;20250401;
92785047000126;000724;1599;20250401;
92785047000126;000725;175;20250401;
92785047000126;000726;159;20250401;
92785047000126;000727;821;20250401;
92785047000126;000746;8;20250401;
92785047000126;000747;11;20250401;
92785047000126;000748;11;20250401;
92785047000126;000912;19;20250401;
92785047000126;000996;380;20250401;
92785047000126;001047;287;20250401;
92785047000126;001112;557;20250401;
92785047000126;001112024;0;20250401;
92785047000126;001112048;0;20250401;
92785047000126;001164;400;20250401;
92785047000126;001434;1202;20250401;
92785047000126;001441;11;20250401;
92785047000126;001500;254;20250401;
92785047000126;001520;0;20250401;
92785047000126;001524;0;20250401;
92785047000126;001525;0;20250401;
92785047000126;001529;0;20250401;
92785047000126;001541;0;20250401;
92785047000126;001580;34;20250401;
92785047000126;001643;1740;20250401;
92785047000126;001644;2619;20250401;
92785047000126;001684;14;20250401;
92785047000126;001686;0;20250401;
92785047000126;001693;0;20250401;
92785047000126;001694;278;20250401;
92785047000126;001695;185;20250401;
92785047000126;001702;430;20250401;
92785047000126;001703;665;20250401;
92785047000126;001705;0;20250401;
92785047000126;001707;743;20250401;
92785047000126;001708;11;20250401;
92785047000126;001709;306;20250401;
92785047000126;001710;2327;20250401;
92785047000126;001711;0;20250401;
92785047000126;001712;791;20250401;
92785047000126;001713;139;20250401;
92785047000126;001714;208;20250401;
92785047000126;001715;53;20250401;
92785047000126;001719;0;20250401;
92785047000126;001720;113;20250401;
92785047000126;001721;212;20250401;
92785047000126;001730;889;20250401;
92785047000126;001731;113;20250401;
92785047000126;001732;213;20250401;
92785047000126;001733;113;20250401;
92785047000126;001734;5;20250401;
92785047000126;001736;678;20250401;
92785047000126;001737;0;20250401;
92785047000126;001739;46;20250401;
92785047000126;001741;280;20250401;
92785047000126;001742;804;20250401;
92785047000126;001744;45;20250401;
92785047000126;001747;7;20250401;
92785047000126;001748;5;20250401;
92785047000126;001749;0;20250401;
92785047000126;001751;0;20250401;
92785047000126;001752;51;20250401;
92785047000126;001754;42;20250401;
92785047000126;001755;51;20250401;
92785047000126;001756;12;20250401;
92785047000126;001757;1;20250401;
92785047000126;001758;44;20250401;
92785047000126;001760;47;20250401;
92785047000126;001761;0;20250401;
92785047000126;001762;27;20250401;
92785047000126;001771;22680;20250401;
92785047000126;001777;30;20250401;
92785047000126;001778;0;20250401;
92785047000126;001781;441;20250401;
92785047000126;001783;195;20250401;
92785047000126;001788;34;20250401;
92785047000126;001789;153;20250401;
92785047000126;001793;13;20250401;
92785047000126;001794;666;20250401;
92785047000126;001795;135;20250401;
92785047000126;001796;-2;20250401;
92785047000126;001797;226;20250401;
92785047000126;001798;0;20250401;
92785047000126;001799;319;20250401;
92785047000126;001802;15221;20250401;
92785047000126;001802020;0;20250401;
92785047000126;001805;1914;20250401;
92785047000126;001848;329;20250401;
92785047000126;001849;197;20250401;
92785047000126;001897;3;20250401;
92785047000126;001909;0;20250401;
92785047000126;001929;0;20250401;
92785047000126;001970;42;20250401;
92785047000126;001981;0;20250401;
92785047000126;002005;69;20250401;
92785047000126;002007;214;20250401;
92785047000126;002061;144;20250401;
92785047000126;002091;0;20250401;
92785047000126;002111;0;20250401;
92785047000126;002175;179;20250401;
92785047000126;002176;268;20250401;
92785047000126;002176020;0;20250401;
92785047000126;002177;519;20250401;
92785047000126;002303;454;20250401;
92785047000126;002376;1239;20250401;
92785047000126;002497;74;20250401;
92785047000126;002580;0;20250401;
92785047000126;002585;32;20250401;
92785047000126;002691;0;20250401;
92785047000126;002692;0;20250401;
92785047000126;002744;0;20250401;
92785047000126;002746;19;20250401;
92785047000126;002756;82;20250401;
92785047000126;003012;278;20250401;
92785047000126;003013;0;20250401;
92785047000126;003212;15;20250401;
92785047000126;003384;61;20250401;
92785047000126;003411;685;20250401;
92785047000126;003431;42;20250401;
92785047000126;003432;16;20250401;
92785047000126;003433;0;20250401;
92785047000126;003480;367;20250401;
92785047000126;003481;3519;20250401;
92785047000126;003516;0;20250401;
92785047000126;003863;0;20250401;
92785047000126;003992;0;20250401;
92785047000126;004162;0;20250401;
92785047000126;004163;0;20250401;
92785047000126;004516;683;20250401;
92785047000126;004528;176;20250401;
92785047000126;004529;613;20250401;
92785047000126;004530;0;20250401;
92785047000126;004531;21;20250401;
92785047000126;004532;381;20250401;
92785047000126;004533;36;20250401;
