Distribuidor;CNPJ;Codigo Vendedor;Codigo Cliente;Codigo Produto;Quantidade;Valor Total;Data;Numero Nota;Tipo de Saida;
IMPORTADORA BAGE SA;92785047000126;000234;060435;003481;3;5964;20250401;001108712;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;060435;000996;2;9962;20250401;001108712;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;060435;000130;6;19161;20250401;001108712;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;995767;000723;12;43728;20250401;001108720;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;995767;001708;15;217413;20250401;001108720;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;995767;007206;1;7911;20250401;001108720;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;995767;013524;6;18028;20250401;001108720;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;995767;013523;4;9744;20250401;001108720;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;995767;007711;1;7452;20250401;001108720;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;995767;003411;1;5870;20250401;001108720;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;995767;010170;1;6852;20250401;001108720;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;995767;006648;2;11712;20250401;001108720;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;995767;006345;2;11494;20250401;001108720;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;995767;000344;2;8038;20250401;001108720;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;995767;005995;4;23708;20250401;001108720;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;995767;010169;4;28141;20250401;001108720;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;995767;000722;2;13714;20250401;001108720;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;995767;001047;4;39964;20250401;001108720;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;995767;006761;4;15184;20250401;001108720;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;995767;006710;4;10922;20250401;001108720;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;995767;001848;1;6468;20250401;001108720;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;995767;000130;12;38323;20250401;001108720;VENDA;
IMPORTADORA BAGE SA;92785047000126;000145;009598;000130;4;13808;20250401;001108722;VENDA;
IMPORTADORA BAGE SA;92785047000126;000145;009598;001047;1;8483;20250401;001108722;VENDA;
IMPORTADORA BAGE SA;92785047000126;000202;999135;001708;2;30693;20250401;001108782;VENDA;
IMPORTADORA BAGE SA;92785047000126;000202;999135;006347;6;19203;20250401;001108782;VENDA;
IMPORTADORA BAGE SA;92785047000126;000202;999135;001710;6;13241;20250401;001108782;VENDA;
IMPORTADORA BAGE SA;92785047000126;000202;999135;005995;2;13248;20250401;001108782;VENDA;
IMPORTADORA BAGE SA;92785047000126;000202;999135;000130;12;40718;20250401;001108782;VENDA;
IMPORTADORA BAGE SA;92785047000126;000342;000213;001644;12;57648;20250401;001108783;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;012882;000724;2;14105;20250401;001108784;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;012882;001707;1;10984;20250401;001108784;VENDA;
IMPORTADORA BAGE SA;92785047000126;000234;012882;000130;1;3872;20250401;001108784;VENDA;
IMPORTADORA BAGE SA;92785047000126;000145;004148;001771;12;43428;20250401;001108776;VENDA;
IMPORTADORA BAGE SA;92785047000126;000145;004148;001732;3;37995;20250401;001108776;VENDA;
IMPORTADORA BAGE SA;92785047000126;000145;004148;000149;2;30372;20250401;001108776;VENDA;
IMPORTADORA BAGE SA;92785047000126;000324;997735;013461;4;14796;20250401;001108771;VENDA;
IMPORTADORA BAGE SA;92785047000126;000997;001544;001644;3;14412;20250401;001108780;VENDA;
IMPORTADORA BAGE SA;92785047000126;000997;001544;000723;3;13665;20250401;001108780;VENDA;
IMPORTADORA BAGE SA;92785047000126;000997;001544;002176;15;16785;20250401;001108780;VENDA;
IMPORTADORA BAGE SA;92785047000126;000997;001544;001712;3;7338;20250401;001108780;VENDA;
IMPORTADORA BAGE SA;92785047000126;000997;001544;001694;2;7708;20250401;001108780;VENDA;
IMPORTADORA BAGE SA;92785047000126;000997;001544;001710;2;4646;20250401;001108780;VENDA;
IMPORTADORA BAGE SA;92785047000126;000997;001544;002376;2;7424;20250401;001108780;VENDA;
IMPORTADORA BAGE SA;92785047000126;000997;001544;001703;3;8394;20250401;001108780;VENDA;
IMPORTADORA BAGE SA;92785047000126;000997;001544;000130;3;11976;20250401;001108780;VENDA;
IMPORTADORA BAGE SA;92785047000126;000997;001544;001720;1;5894;20250401;001108780;VENDA;
IMPORTADORA BAGE SA;92785047000126;000997;001544;001794;1;5445;20250401;001108780;VENDA;
IMPORTADORA BAGE SA;92785047000126;000324;997461;000724;1;7271;20250401;001108777;VENDA;
IMPORTADORA BAGE SA;92785047000126;000324;997461;006347;3;10107;20250401;001108777;VENDA;
